pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty,surveillanceMessage
759969,EQ,nse_cm,,PAUSHAKLTD,PAUSHAKLTD-EQ,,PAUSHAKLTD,INE111F01024,,,,PAUSHAK LIMITED,,,5,1,-1,-1,2,-1,NSE,,,1449014400,,1449014400,0,0,0,0,0,462.35-693.45,0,0,1449425572,,,,,,,,,,CASH,,,,,500,,,,0,20,,0.0000,T+1,315513000,0,1,173017.00,1,0,69345,46235,1,1,1,0,0,1,0,2.46569e+07,0,0,173017,
5968,SG,nse_cm,,709AP39,709AP39-SG,,709AP39-SG,IN1020210325,,,,SDL AP 7.09% 2039,,,1,100,-1,-1,2,-1,NSE,,,1318118400,,1318118400,0,0,0,0,0,95.00-105.00,0,0,1449419737,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,1e+08,0,0,1000000,
759339,TB,nse_cm,,91D020126,91D020126-TB,,91D020126-TB,IN002025X273,,,,GOI TBILL 91D-02/01/26,,,1,100,-1,-1,2,-1,NSE,,,1444176000,,1444176000,0,0,0,0,0,94.42-104.35,0,0,1449419745,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1005839.00,100,0,10435,9442,1,1,1,0,0,1,0,7.2e+08,0,0,1005839,
21997,SG,nse_cm,,703NL30,703NL30-SG,,703NL30-SG,IN2620190057,,,,SDL NL 7.03% 2030,,,1,100,-1,-1,2,-1,NSE,,,1280275200,,1280275200,0,0,0,0,0,99.19-109.64,0,0,1449419740,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,490499.00,100,0,10964,9919,1,1,1,0,0,1,0,1.5e+07,0,0,490499,
10642,SG,nse_cm,,795TS37,795TS37-SG,,795TS37-SG,IN4520220117,,,,SDL TS 7.95% 2037,,,1,100,-1,-1,2,-1,NSE,,,1344729600,,1344729600,0,0,0,0,0,95.00-105.00,0,0,1449419738,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,1e+08,0,0,1000000,
30002,SG,nse_cm,,728CG34,728CG34-SG,,728CG34-SG,IN3520240067,,,,SDL CG 7.28% 2034,,,1,100,-1,-1,2,-1,NSE,,,1425772800,,1425772800,0,0,0,0,0,95.00-105.00,0,0,1449419742,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,1e+08,0,0,1000000,
21589,BL,nse_cm,,COMSYN,COMSYN-BL,,COMSYN-BL,INE073V01015,,,,COMMERCIAL SYN BAGS LTD,,,1,1,-1,-1,2,-1,NSE,,,1390435200,,1390435200,0,0,0,0,1442966400,135.55-143.94,0,0,1449431145,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,716063.00,1,0,14394,13555,1,1,1,0,0,1,0,3.99522e+07,0,0,716063,
25595,N0,nse_cm,,AAFS28C,AAFS28C-N0,,AAFS28C-N0,INE0L6807195,,,,AAFS28C MARKET LINKED 28,,,1,1,-1,-1,2,-1,NSE,,,1412121600,,1412121600,0,0,0,0,0,80000.00-120000.00,0,0,1449419741,,,,,,,,,,CASH,,,,,10000000,,,,0,20,,0.0000,T+1,315513000,0,1,354.00,1,0,1.2e+07,8e+06,1,1,1,0,0,1,0,10850,0,0,354,
758997,BZ,nse_cm,,SUPREMEENG,SUPREMEENG-BZ,,SUPREMEENG-BZ,INE319Z01021,,,,SUPREME ENGINEERING LTD,,,1,1,-1,-1,2,-1,NSE,,,1445990400,,1445990400,0,0,0,0,0,1.06-1.17,0,0,1449425572,,,,,,,,,,CASH,,,,,100,,,,0,20,,0.0000,T+1,315513000,0,1,8173364.00,1,0,117,106,1,1,1,0,0,1,0,2.4995e+08,0,0,8173364,"Stage 2 GSM scrip,The company is in BZ/SZ series due to non-compliance with SEBI SOP Circular,EPS based on previous 4 trailing quarters in the scrip is zero,Average daily number of unique Clients/PAN traded in the scrip in previous 30 days is less than 100,Gross settlement (Trade for Trade)"
7954,BL,nse_cm,,NETF,NETF-BL,,NETF-BL,INF277K015R5,,,,TATAAML - NETF,,,1,1,-1,-1,2,-1,NSE,,,1231027200,,1231027200,0,0,0,0,0,272.80-289.67,0,0,1449431123,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,356206.00,1,0,28967,27280,1,1,1,0,0,1,0,2.67182e+07,0,0,356206,
