pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty,surveillanceMessage
976721,F,bse_cm,,738ABCL28,738ABCL28,,738ABCL28,INE674K07036,,,,ABCL-7.38%-14-2-28-PVT,,,1,1,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,10000000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,1.2e+07,8e+06,1,1,1,0,0,1,0,-1,0,0,0,
544510,MT,bse_cm,,NCML,NCML,,NCML,INE346R01013,,,,NILACHAL CARBO METALICKS LIMIT,,,5,1600,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,,0,1,0.00,1600,0,10165,9205,1,1,1,0,0,1,0,-1,0,0,0,"Stage I ESM Scrip,Average daily number of unique Clients/PAN traded in the scrip in previous 30 days is less than 100,The scrip is not regularly traded, and exit may be difficult"
976290,F,bse_cm,,942KIIFB30,942KIIFB30,,942KIIFB30,INE658F08300,,,,KIIFB-9.4%-30-12-30-PVT,,,1,1,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,10000000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,1.23e+07,8.2e+06,1,1,1,0,0,1,0,-1,0,0,0,
954744,F,bse_cm,,925BCL26,925BCL26,,925BCL26,INE340A07084,,,,BFL-9.25%-18-08-26-PVT,,,1,1,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,40000000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,4.8e+07,3.2e+07,1,1,1,0,0,1,0,-1,0,0,0,
976179,F,bse_cm,,NWFL181124,NWFL181124,,NWFL181124,INE918K07PQ5,,,,NWFL-Nifty 50-19-5-28-CP,,,1,1,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,10000000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,1.2e+07,8e+06,1,1,1,0,0,1,0,-1,0,0,0,
975649,F,bse_cm,,925SKFL27,925SKFL27,,925SKFL27,INE124N07697,,,,SKFL-9.25%-9-5-27-PVT,,,1,1,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,10000000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,1.2e+07,8e+06,1,1,1,0,0,1,0,-1,0,0,0,
977294,F,bse_cm,,686NBFID30,686NBFID30,,686NBFID30,INE0KUG08100,,,,NBFIL-6.86%-13-11-30-PVT,,,1,1,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,10000000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,1.2e+07,8e+06,1,1,1,0,0,1,0,-1,0,0,0,
973554,F,bse_cm,,627BPCL26,627BPCL26,,627BPCL26,INE322J08040,,,,BPCL-6.27%-26-10-26-PVT,,,1,1,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,100000000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,1.2e+08,8e+07,1,1,1,0,0,1,0,-1,0,0,0,
976247,F,bse_cm,,911360OP27,911360OP27,,911360OP27,INE196P07260,,,,360OPML-9.11%-17-12-27-PVT,,,1,1,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,10000000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,1.2e+07,8e+06,1,1,1,0,0,1,0,-1,0,0,0,
810817,G,bse_cm,,744KA35,744KA35,,744KA35,IN1920210359,,,,744KARSDL35,,,1,1,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,9183,7515,1,1,1,0,0,1,0,-1,0,0,0,
